"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.011,-0.040768,0.0074259,0.10084,1.4596,0.12733,69.249,-20,-50,0
10.069,-0.082662,0.01675,0.096819,1.4198,0.12569,68.941,-5.9747,-50,0
10.249,-0.16375,0.036186,0.089897,1.3498,0.12276,67.655,8.0399,-50,0
10.552,-0.23228,0.054665,0.084276,1.2943,0.12039,65.043,22.041,-50,0
10.945,-0.27707,0.06734,0.078299,1.2357,0.11781,61.268,36.029,-50,0
11.385,-0.29766,0.070683,0.074088,1.1858,0.11557,56.728,50.014,-50,0
11.841,-0.30267,0.064235,0.073651,1.172,0.11494,51.859,64.003,-50,0
12.303,-0.29303,0.049328,0.075837,1.1884,0.11568,46.803,78.002,-50,0
12.751,-0.26243,0.029334,0.080058,1.2259,0.11736,41.585,92.007,-50,0
13.148,-0.21666,0.0070613,0.085339,1.2771,0.11961,36.645,106.01,-50,0
13.481,-0.17291,-0.016409,0.090427,1.3298,0.12189,32.533,120.01,-50,0
13.771,-0.14245,-0.030735,0.094507,1.375,0.1238,29.298,134.01,-50,0
14.036,-0.12578,-0.030126,0.097202,1.4078,0.12516,26.666,148,-50,0
14.28,-0.11939,-0.019622,0.098484,1.4271,0.12595,24.479,162,-50,0
14.497,-0.11983,-0.0023689,0.098503,1.4336,0.1262,22.683,176,-50,0
14.682,-0.12393,0.017494,0.097585,1.4296,0.12603,21.172,190,-50,0
14.838,-0.12943,0.038108,0.096155,1.4188,0.12558,19.772,204.01,-50,0
14.965,-0.13461,0.059942,0.094566,1.4046,0.12499,18.297,218.01,-50,0
15.071,-0.13671,0.079795,0.093071,1.3898,0.12437,16.568,232.02,-50,0
15.161,-0.13373,0.094874,0.091785,1.3763,0.1238,14.435,246.03,-50,0
15.238,-0.11968,0.10599,0.090675,1.3642,0.12329,11.901,260.03,-50,0
15.299,-0.1019,0.11511,0.089701,1.3535,0.12284,9.2793,274.03,-50,0
15.35,-0.094645,0.12459,0.088854,1.3443,0.12246,6.8324,288.03,-50,0
15.4,-0.096727,0.134,0.088106,1.3364,0.12212,4.5251,302.02,-50,0
15.451,-0.1037,0.14532,0.087391,1.3288,0.1218,2.2407,316.01,-50,0
15.475,-0.10789,0.1523,0.087026,1.3249,0.12163,1.0859,330,-50,0
10.014,-0.084579,0.0084533,0.10073,1.4587,0.12729,70.091,-20,-35.965,0
10.076,-0.16884,0.019684,0.096872,1.4198,0.12568,69.753,-5.9661,-35.96,0
10.27,-0.33312,0.043127,0.090071,1.3518,0.12284,68.369,8.0532,-35.952,0
10.593,-0.47275,0.06519,0.08359,1.289,0.12015,65.555,22.052,-35.945,0
11.01,-0.56142,0.080274,0.077587,1.2261,0.11738,61.49,36.034,-35.946,0
11.47,-0.60206,0.084249,0.075962,1.1944,0.11596,56.685,50.009,-35.959,0
11.945,-0.61869,0.076274,0.079751,1.223,0.1172,51.63,63.995,-35.983,0
12.431,-0.60286,0.058947,0.086773,1.2898,0.12008,46.361,77.996,-36.009,0
12.907,-0.53237,0.035761,0.096464,1.3733,0.12355,40.892,92.008,-36.026,0
13.329,-0.43134,0.010671,0.1062,1.4639,0.12722,35.839,106.02,-36.033,0
13.679,-0.34815,-0.0099194,0.11291,1.5358,0.13007,31.829,120.02,-36.034,0
13.978,-0.30503,-0.015872,0.11699,1.5834,0.13194,28.81,134.01,-36.033,0
14.243,-0.29537,-0.0041266,0.11928,1.6131,0.1331,26.391,148,-36.034,0
14.476,-0.30714,0.019779,0.12053,1.6314,0.1338,24.363,161.99,-36.037,0
14.671,-0.33063,0.049996,0.12145,1.6448,0.13429,22.649,175.99,-36.04,0
14.821,-0.35476,0.081344,0.12245,1.6572,0.13471,21.136,189.99,-36.043,0
14.926,-0.37186,0.11102,0.12345,1.6678,0.13504,19.67,204,-36.043,0
14.99,-0.3793,0.13864,0.1247,1.6784,0.13536,18.085,218.01,-36.042,0
15.024,-0.37378,0.16216,0.12639,1.6901,0.13571,16.209,232.02,-36.04,0
15.04,-0.35809,0.17713,0.12859,1.7079,0.13627,13.887,246.03,-36.036,0
15.041,-0.32998,0.18078,0.12958,1.7176,0.13656,11.073,260.04,-36.032,0
15.018,-0.29718,0.17753,0.12896,1.7125,0.13634,8.3577,274.04,-36.029,0
14.98,-0.27614,0.17447,0.12786,1.7051,0.13605,6.128,288.03,-36.025,0
14.949,-0.26686,0.17214,0.12627,1.6946,0.13566,4.0738,302.02,-36.023,0
14.92,-0.26567,0.17007,0.12278,1.6691,0.13476,1.9621,316.01,-36.021,0
14.903,-0.26652,0.16934,0.12011,1.6493,0.13406,0.86465,330,-36.02,0
10.018,-0.17145,0.013276,0.1009,1.4606,0.12737,72.769,-20,-21.939,0
10.058,-0.31352,0.022639,0.12031,1.4208,0.11097,72.143,-5.948,-21.928,0
10.254,-0.66691,0.043116,0.1285,1.3188,0.092904,70.201,8.0822,-21.91,0
10.627,-0.94434,0.060417,0.11463,1.2314,0.090175,66.845,22.078,-21.895,0
11.139,-1.1145,0.071405,0.10405,1.1544,0.08764,61.809,36.043,-21.893,0
11.672,-1.161,0.071403,0.1074,1.1524,0.087459,56.254,49.996,-21.917,0
12.191,-1.1713,0.05587,0.12582,1.2523,0.09056,50.964,63.973,-21.97,0
12.778,-1.1372,0.025815,0.15011,1.4041,0.095158,45.108,77.983,-22.024,0
13.376,-0.96203,0.0013719,0.17033,1.5379,0.099247,38.602,92.011,-22.055,0
13.839,-0.71478,-0.018979,0.18521,1.644,0.10262,33.255,106.03,-22.064,0
14.163,-0.53456,-0.031,0.19375,1.712,0.10478,29.775,120.03,-22.063,0
14.413,-0.48139,-0.023992,0.19896,1.7515,0.10599,27.581,134.01,-22.062,0
14.612,-0.5252,0.0082686,0.20238,1.7787,0.10673,25.848,148,-22.065,0
14.739,-0.61002,0.055232,0.20699,1.8063,0.1074,24.273,161.99,-22.072,0
14.775,-0.69043,0.10634,0.21512,1.8479,0.10835,22.748,175.98,-22.078,0
14.713,-0.74444,0.15254,0.22585,1.9037,0.10961,21.146,189.99,-22.083,0
14.564,-0.76286,0.1874,0.23632,1.9591,0.11089,19.419,204,-22.085,0
